고등교육기관 주소록,,,,,,,,,,,,
,,,,,,,,,,,,
* 2018년 10월 1일 기준,,,,,,,,,,,,
"* 일반대학, 교육대학, 산업대학, 방송통신대학교, 기술대학, 각종학교(전문, 대학과정), 사이버대학(전문, 대학과정), 원격대학(전문, 대학과정), 사내대학(전문,대학과정), 전문대학, 기능대학, 전공대학, 일반대학원, 특수대학원, 전문대학원이 포함됨",,,,,,,,,,,,
* 본 자료는 해당기관에서 작성한 자료임,,,,,,,,,,,,
연도,학교종류,시도,학교명,학교명(영문),본분교,학교상태,설립,우편번호,주소,전화번호,팩스번호,홈페이지
2018,대학교,전남,목포해양대학교,Mokpo National Maritime University,본교,기존,국립,58628,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",061-240-7114        ,061-240-7853,www.mmu.ac.kr
2018,일반대학원,전남,목포해양대학교대학원,Mokpo National Maritime University Graduate School,본교,기존,국립,58628,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",061-240-7114        ,061-242-5176        ,www.mmu.ac.kr
2018,특수대학원,전남,목포해양대학교해양산업대학원,Mokpo National Maritime University Graduate School of Maritime Industry,본교,기존,국립,58628,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",061-240-7114        ,061-242-5176        ,www.mmu.ac.kr
2018,대학교,부산,부경대학교,PUKYONG NATIONAL UNIVERSITY,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-4114        ,051-629-5119 ,www.pknu.ac.kr
2018,일반대학원,부산,부경대학교대학원,Graduate School of Pukyong National University,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-5191 ,051-629-5195,graduate.pknu.ac.kr
2018,특수대학원,부산,부경대학교 경영대학원,Graduate School of Business,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-5705,051-629-5710,cms.pknu.ac.kr/cbais/main.do
2018,특수대학원,부산,부경대학교 교육대학원,GRADUATE SCHOOL OF EDUCATION,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-5508,051-629-5514        ,pknuedu.pknu.ac.kr
2018,특수대학원,부산,부경대학교 국제대학원,Graduate School of International Studies,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",,,cms.pknu.ac.kr/gsis
2018,특수대학원,부산,부경대학교 산업대학원,GRADUATE SCHOOL OF INDUSTRY,본교,기존,국립,48513,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",051-629-6047,,coe.pknu.ac.kr/sandae/index/index.asp
2018,전문대학원,부산,부경대학교 기술경영전문대학원,Graduate School of Management of Technology,본교,기존,국립,48547,"부산광역시 남구 신선로 365 (용당동, 부경대학교용당캠퍼스)",051-629-5656,051-629-5659,mot.pknu.ac.kr
